trial_num	condition	stimulus	start_time	go_signal	resp_time	record_time	iti_dur	run	trial	start_time_real	end_time_real
17	simple	ver ver ver ver ver ver ver ver ver	101.0	1.0	4.0	5.0	1.0	2	17	101.65191469993442	107.65193299995735
18	simple	thrilled thrilled thrilled thrilled thrilled thrilled thrilled thrilled thrilled	107.0	1.0	4.0	5.0	1.0	2	18	107.67555579997133	113.67557299998589
19	simple	neh neh neh neh neh neh neh neh neh	113.0	1.0	4.0	5.0	1.0	2	19	113.69484429992735	119.6948591999244
20	simple	jin jin jin jin jin jin jin jin jin	119.0	1.0	4.0	5.0	1.0	2	20	119.71028220001608	125.71031499991659
21	simple	a a a a a a a a a	125.0	1.0	4.0	5.0	1.0	2	21	125.72883819998242	131.72885459999088
22	simple	mih mih mih mih mih mih mih mih mih	131.0	1.0	4.0	5.0	1.0	2	22	131.74830420000944	137.7483151999768
23	simple	thurs thurs thurs thurs thurs thurs thurs thurs thurs	137.0	1.0	4.0	5.0	1.0	2	23	137.7651160999667	143.76514279993717
24	simple	less less less less less less less less less	143.0	1.0	4.0	5.0	1.0	2	24	143.78076160000637	149.7807723999722
25	simple	caw caw caw caw caw caw caw caw caw	149.0	1.0	4.0	5.0	1.0	2	25	149.79610389994923	155.79611809994094
26	simple	pot pot pot pot pot pot pot pot pot	155.0	1.0	4.0	5.0	1.0	2	26	155.80967939994298	161.8096979999682
27	simple	through through through through through through through through through	161.0	1.0	4.0	5.0	1.0	2	27	161.82561419997364	167.8256282999646
28	simple	picked picked picked picked picked picked picked picked picked	167.0	1.0	4.0	5.0	1.0	2	28	167.83991699991748	173.83993289992213
29	simple	much much much much much much much much much	173.0	1.0	4.0	5.0	1.0	2	29	173.85797779995482	179.85799549997319
30	simple	ther ther ther ther ther ther ther ther ther	179.0	1.0	4.0	5.0	1.0	2	30	179.8827935999725	185.88282890000846
31	simple	how how how how how how how how how	185.0	1.0	4.0	5.0	1.0	2	31	185.90543259994593	191.90544939995743
32	simple	pie pie pie pie pie pie pie pie pie	191.0	1.0	4.0	5.0	1.0	2	32	191.92785739991814	197.92787289991975
33	simple	ser ser ser ser ser ser ser ser ser	197.0	1.0	4.0	5.0	1.0	2	33	197.94820699992124	203.94824499997776
trial_num	condition	stimulus	start_time	go_signal	resp_time	record_time	iti_dur	run	trial	start_time_real	end_time_real
1	simple	pi pi pi pi pi pi pi pi pi	5.0	1.0	4.0	5.0	1.0	3	1	5.461657900013961	11.461668699979782
2	simple	peck peck peck peck peck peck peck peck peck	11.0	1.0	4.0	5.0	1.0	3	2	11.466941099963151	17.466965300031006
3	simple	airy airy airy airy airy airy airy airy airy	17.0	1.0	4.0	5.0	1.0	3	3	17.472809500060976	23.472824500058778
4	simple	juh juh juh juh juh juh juh juh juh	23.0	1.0	4.0	5.0	1.0	3	4	23.481268199975602	29.48128419998102
5	simple	per per per per per per per per per	29.0	1.0	4.0	5.0	1.0	3	5	29.488701900001615	35.4887335000094
6	simple	ter ter ter ter ter ter ter ter ter	35.0	1.0	4.0	5.0	1.0	3	6	35.49561690003611	41.49563580006361
7	simple	day day day day day day day day day	41.0	1.0	4.0	5.0	1.0	3	7	41.507436600048095	47.50747670000419
8	simple	leh leh leh leh leh leh leh leh leh	47.0	1.0	4.0	5.0	1.0	3	8	47.51600000006147	53.51601630006917
9	simple	jur jur jur jur jur jur jur jur jur	53.0	1.0	4.0	5.0	1.0	3	9	53.524634000030346	59.52464710001368
10	simple	out out out out out out out out out	59.0	1.0	4.0	5.0	1.0	3	10	59.53626249998342	65.53627979999874
11	simple	pro pro pro pro pro pro pro pro pro	65.0	1.0	4.0	5.0	1.0	3	11	65.54530670004897	71.54532130004372
12	simple	if if if if if if if if if	71.0	1.0	4.0	5.0	1.0	3	12	71.55812679999508	77.55814640002791
13	simple	fee fee fee fee fee fee fee fee fee	77.0	1.0	4.0	5.0	1.0	3	13	77.5724513999885	83.57379210006911
14	simple	imah imah imah imah imah imah imah imah imah	83.0	1.0	4.0	5.0	1.0	3	14	83.59321750001982	89.59323090000544
15	simple	would would would would would would would would would	89.0	1.0	4.0	5.0	1.0	3	15	89.60943850001786	95.60945190000348
16	simple	chuck chuck chuck chuck chuck chuck chuck chuck chuck	95.0	1.0	4.0	5.0	1.0	3	16	95.62486940005329	101.62501209997572
17	simple	ver ver ver ver ver ver ver ver ver	101.0	1.0	4.0	5.0	1.0	3	17	101.64259790000506	107.6426246999763
18	simple	thrilled thrilled thrilled thrilled thrilled thrilled thrilled thrilled thrilled	107.0	1.0	4.0	5.0	1.0	3	18	107.65650439995807	113.65651570004411
19	simple	neh neh neh neh neh neh neh neh neh	113.0	1.0	4.0	5.0	1.0	3	19	113.67698550003115	119.67700100003276
20	simple	jin jin jin jin jin jin jin jin jin	119.0	1.0	4.0	5.0	1.0	3	20	119.69595299998764	125.69597710005473
21	simple	a a a a a a a a a	125.0	1.0	4.0	5.0	1.0	3	21	125.72020229999907	131.72027319995686
22	simple	mih mih mih mih mih mih mih mih mih	131.0	1.0	4.0	5.0	1.0	3	22	131.73762500006706	137.73763740004506
23	simple	thurs thurs thurs thurs thurs thurs thurs thurs thurs	137.0	1.0	4.0	5.0	1.0	3	23	137.75471750006545	143.7547334000701
24	simple	less less less less less less less less less	143.0	1.0	4.0	5.0	1.0	3	24	143.77114980004262	149.77116240002215
25	simple	caw caw caw caw caw caw caw caw caw	149.0	1.0	4.0	5.0	1.0	3	25	149.78678950003814	155.78680240001995
26	simple	pot pot pot pot pot pot pot pot pot	155.0	1.0	4.0	5.0	1.0	3	26	155.80424109997693	161.80425379995722
27	simple	through through through through through through through through through	161.0	1.0	4.0	5.0	1.0	3	27	161.81825780007057	167.81832279998343
28	simple	picked picked picked picked picked picked picked picked picked	167.0	1.0	4.0	5.0	1.0	3	28	167.83572159998585	173.83573609997984
29	simple	much much much much much much much much much	173.0	1.0	4.0	5.0	1.0	3	29	173.85308350005653	179.85309810005128
30	simple	ther ther ther ther ther ther ther ther ther	179.0	1.0	4.0	5.0	1.0	3	30	179.87025230005383	185.8702682000585
31	simple	how how how how how how how how how	185.0	1.0	4.0	5.0	1.0	3	31	185.8875968999928	191.8876110999845
32	simple	pie pie pie pie pie pie pie pie pie	191.0	1.0	4.0	5.0	1.0	3	32	191.9068139999872	197.90683570003603
33	simple	ser ser ser ser ser ser ser ser ser	197.0	1.0	4.0	5.0	1.0	3	33	197.92377840005793	203.92379360005725
