subject	run	trial	syllable	wav_file	syllable_number	onset_sec	offset_sec
sub-05	2	1	imah	sub-05_run-02_trial-01.wav	1	0.5725	0.8325
sub-05	2	1	imah	sub-05_run-02_trial-01.wav	2	0.8325	1.0725
sub-05	2	1	imah	sub-05_run-02_trial-01.wav	3	1.0725	1.3325
sub-05	2	1	imah	sub-05_run-02_trial-01.wav	4	1.3325	1.5925
sub-05	2	1	imah	sub-05_run-02_trial-01.wav	5	1.5925	1.8325
sub-05	2	1	imah	sub-05_run-02_trial-01.wav	6	1.8325	2.0725
sub-05	2	1	imah	sub-05_run-02_trial-01.wav	7	2.0725	2.2725
sub-05	2	1	imah	sub-05_run-02_trial-01.wav	8	2.2725	2.5325
sub-05	2	1	imah	sub-05_run-02_trial-01.wav	9	2.5325	2.8325
sub-05	2	1	imah	sub-05_run-02_trial-01.wav	10	2.8325	3.0525
sub-05	2	1	imah	sub-05_run-02_trial-01.wav	11	3.0525	3.3525
sub-05	2	1	imah	sub-05_run-02_trial-01.wav	12	3.3525	3.6925
sub-05	2	1	imah	sub-05_run-02_trial-01.wav	13	3.6925	3.9725
sub-05	2	1	imah	sub-05_run-02_trial-01.wav	14	3.9725	4.2325
sub-05	2	1	imah	sub-05_run-02_trial-01.wav	15	4.2325	4.3325
sub-05	2	1	imah	sub-05_run-02_trial-01.wav	16	4.3325	4.5325
sub-05	2	2	how	sub-05_run-02_trial-02.wav	1	0.3725	0.5525
sub-05	2	2	how	sub-05_run-02_trial-02.wav	2	0.5525	0.7125
sub-05	2	2	how	sub-05_run-02_trial-02.wav	3	0.7125	0.8925
sub-05	2	2	how	sub-05_run-02_trial-02.wav	4	0.8925	1.0725
sub-05	2	2	how	sub-05_run-02_trial-02.wav	5	1.0725	1.2725
sub-05	2	2	how	sub-05_run-02_trial-02.wav	6	1.2725	1.5125
sub-05	2	2	how	sub-05_run-02_trial-02.wav	7	1.5125	1.6725
sub-05	2	2	how	sub-05_run-02_trial-02.wav	8	1.6725	1.8125
sub-05	2	2	how	sub-05_run-02_trial-02.wav	9	1.8125	2.0325
sub-05	2	2	how	sub-05_run-02_trial-02.wav	10	2.0325	2.2125
sub-05	2	2	how	sub-05_run-02_trial-02.wav	11	2.2125	2.3925
sub-05	2	2	how	sub-05_run-02_trial-02.wav	12	2.3925	2.6325
