subject	run	trial	syllable	wav_file	syllable_number	onset_sec	offset_sec
sub-04	1	1	much	sub-04_run-01_trial-01.wav	1	0.7325	0.9925
sub-04	1	1	much	sub-04_run-01_trial-01.wav	2	0.9925	1.1325
sub-04	1	1	much	sub-04_run-01_trial-01.wav	3	1.1325	1.3725
sub-04	1	1	much	sub-04_run-01_trial-01.wav	4	1.5125	1.7725
sub-04	1	1	much	sub-04_run-01_trial-01.wav	5	1.7725	2.0125
sub-04	1	1	much	sub-04_run-01_trial-01.wav	6	2.0125	2.2725
sub-04	1	1	much	sub-04_run-01_trial-01.wav	7	2.2725	2.5725
sub-04	1	1	much	sub-04_run-01_trial-01.wav	8	2.5725	2.7325
sub-04	1	1	much	sub-04_run-01_trial-01.wav	9	2.7325	2.9325
sub-04	1	1	much	sub-04_run-01_trial-01.wav	10	2.9325	3.1525
sub-04	1	1	much	sub-04_run-01_trial-01.wav	11	3.1925	3.5125
sub-04	1	1	much	sub-04_run-01_trial-01.wav	12	3.5125	3.8125
sub-04	1	1	much	sub-04_run-01_trial-01.wav	13	3.8125	4.1525
sub-04	1	1	much	sub-04_run-01_trial-01.wav	14	4.1525	4.4525
sub-04	1	2	fee	sub-04_run-01_trial-02.wav	1	0.5525	0.6925
sub-04	1	2	fee	sub-04_run-01_trial-02.wav	2	0.6925	0.9325
sub-04	1	2	fee	sub-04_run-01_trial-02.wav	3	0.9325	1.1725
sub-04	1	2	fee	sub-04_run-01_trial-02.wav	4	1.1725	1.4125
sub-04	1	2	fee	sub-04_run-01_trial-02.wav	5	1.4125	1.6525
sub-04	1	2	fee	sub-04_run-01_trial-02.wav	6	1.6525	1.9525
sub-04	1	2	fee	sub-04_run-01_trial-02.wav	7	1.9525	2.2125
sub-04	1	2	fee	sub-04_run-01_trial-02.wav	8	2.3325	2.5725
sub-04	1	2	fee	sub-04_run-01_trial-02.wav	9	2.5725	2.8725
sub-04	1	2	fee	sub-04_run-01_trial-02.wav	10	2.9525	3.1125
sub-04	1	2	fee	sub-04_run-01_trial-02.wav	11	3.1125	3.3725
sub-04	1	2	fee	sub-04_run-01_trial-02.wav	12	3.3725	3.6125
sub-04	1	2	fee	sub-04_run-01_trial-02.wav	13	3.6125	3.8325
sub-04	1	2	fee	sub-04_run-01_trial-02.wav	14	3.8325	4.0925
sub-04	1	2	fee	sub-04_run-01_trial-02.wav	15	4.0925	4.2925
sub-04	1	3	imah	sub-04_run-01_trial-03.wav	1	0.2125	0.4725
sub-04	1	3	imah	sub-04_run-01_trial-03.wav	2	0.4725	0.6925
sub-04	1	3	imah	sub-04_run-01_trial-03.wav	3	0.6925	0.9325
sub-04	1	3	imah	sub-04_run-01_trial-03.wav	4	0.9325	1.2725
sub-04	1	3	imah	sub-04_run-01_trial-03.wav	5	1.3325	1.4325
sub-04	1	3	imah	sub-04_run-01_trial-03.wav	6	1.4325	1.6925
sub-04	1	3	imah	sub-04_run-01_trial-03.wav	7	1.6925	1.9525
sub-04	1	3	imah	sub-04_run-01_trial-03.wav	8	2.0725	2.3525
sub-04	1	3	imah	sub-04_run-01_trial-03.wav	9	2.3525	2.6325
sub-04	1	3	imah	sub-04_run-01_trial-03.wav	10	2.8125	3.0525
sub-04	1	3	imah	sub-04_run-01_trial-03.wav	11	3.0525	3.1725
sub-04	1	3	imah	sub-04_run-01_trial-03.wav	12	3.1725	3.4525
sub-04	1	3	imah	sub-04_run-01_trial-03.wav	13	3.5325	3.9525
sub-04	1	3	imah	sub-04_run-01_trial-03.wav	14	3.9525	4.2125
sub-04	1	4	thir	sub-04_run-01_trial-04.wav	1	0.3125	0.5125
sub-04	1	4	thir	sub-04_run-01_trial-04.wav	2	0.5925	0.7925
sub-04	1	4	thir	sub-04_run-01_trial-04.wav	3	0.7925	0.9725
sub-04	1	4	thir	sub-04_run-01_trial-04.wav	4	0.9725	1.1925
sub-04	1	4	thir	sub-04_run-01_trial-04.wav	5	1.1925	1.6925
sub-04	1	4	thir	sub-04_run-01_trial-04.wav	6	1.7325	1.9725
sub-04	1	4	thir	sub-04_run-01_trial-04.wav	7	1.9725	2.2525
sub-04	1	4	thir	sub-04_run-01_trial-04.wav	8	2.2525	2.5925
sub-04	1	4	thir	sub-04_run-01_trial-04.wav	9	2.5925	2.8925
sub-04	1	4	thir	sub-04_run-01_trial-04.wav	10	2.8925	3.2325
sub-04	1	4	thir	sub-04_run-01_trial-04.wav	11	3.3125	3.5525
sub-04	1	4	thir	sub-04_run-01_trial-04.wav	12	3.6325	3.8125
sub-04	1	4	thir	sub-04_run-01_trial-04.wav	13	3.8125	4.1325
sub-04	1	4	thir	sub-04_run-01_trial-04.wav	14	4.2525	4.4925
sub-04	1	5	ter	sub-04_run-01_trial-05.wav	1	0.5725	0.7525
sub-04	1	5	ter	sub-04_run-01_trial-05.wav	2	0.8125	1.0125
sub-04	1	5	ter	sub-04_run-01_trial-05.wav	3	1.0725	1.2725
sub-04	1	5	ter	sub-04_run-01_trial-05.wav	4	1.3525	1.5725
sub-04	1	5	ter	sub-04_run-01_trial-05.wav	5	1.6525	1.8925
sub-04	1	5	ter	sub-04_run-01_trial-05.wav	6	1.9525	2.2125
sub-04	1	5	ter	sub-04_run-01_trial-05.wav	7	2.2925	2.5125
sub-04	1	5	ter	sub-04_run-01_trial-05.wav	8	2.5725	2.8125
sub-04	1	5	ter	sub-04_run-01_trial-05.wav	9	2.8725	3.0725
sub-04	1	5	ter	sub-04_run-01_trial-05.wav	10	3.1325	3.3925
sub-04	1	5	ter	sub-04_run-01_trial-05.wav	11	3.4525	3.6325
sub-04	1	5	ter	sub-04_run-01_trial-05.wav	12	3.6925	3.8925
sub-04	1	5	ter	sub-04_run-01_trial-05.wav	13	3.9525	4.1525
sub-04	1	5	ter	sub-04_run-01_trial-05.wav	14	4.2125	4.3525
sub-04	1	6	per	sub-04_run-01_trial-06.wav	1	0.4725	0.6925
sub-04	1	6	per	sub-04_run-01_trial-06.wav	2	0.6925	0.8925
sub-04	1	6	per	sub-04_run-01_trial-06.wav	3	0.9525	1.1525
sub-04	1	6	per	sub-04_run-01_trial-06.wav	4	1.2325	1.4125
sub-04	1	6	per	sub-04_run-01_trial-06.wav	5	1.4925	1.6525
sub-04	1	6	per	sub-04_run-01_trial-06.wav	6	1.7325	1.8925
sub-04	1	6	per	sub-04_run-01_trial-06.wav	7	1.9525	2.1125
sub-04	1	6	per	sub-04_run-01_trial-06.wav	8	2.1925	2.3325
sub-04	1	6	per	sub-04_run-01_trial-06.wav	9	2.4325	2.5725
sub-04	1	6	per	sub-04_run-01_trial-06.wav	10	2.6525	2.8325
sub-04	1	6	per	sub-04_run-01_trial-06.wav	11	2.9125	3.0725
sub-04	1	6	per	sub-04_run-01_trial-06.wav	12	3.1525	3.3325
sub-04	1	6	per	sub-04_run-01_trial-06.wav	13	3.4125	3.5925
sub-04	1	6	per	sub-04_run-01_trial-06.wav	14	3.6725	3.8325
sub-04	1	6	per	sub-04_run-01_trial-06.wav	15	3.9125	4.0925
sub-04	1	6	per	sub-04_run-01_trial-06.wav	16	4.1725	4.4325
sub-04	1	7	if	sub-04_run-01_trial-07.wav	1	0.5125	0.6325
sub-04	1	7	if	sub-04_run-01_trial-07.wav	2	0.6325	0.8325
sub-04	1	7	if	sub-04_run-01_trial-07.wav	3	0.8325	0.9325
sub-04	1	7	if	sub-04_run-01_trial-07.wav	4	0.9325	1.0525
sub-04	1	7	if	sub-04_run-01_trial-07.wav	5	1.0525	1.2525
sub-04	1	7	if	sub-04_run-01_trial-07.wav	6	1.2525	1.5125
sub-04	1	7	if	sub-04_run-01_trial-07.wav	7	1.5125	1.7525
sub-04	1	7	if	sub-04_run-01_trial-07.wav	8	1.7525	1.8325
sub-04	1	7	if	sub-04_run-01_trial-07.wav	9	1.8325	1.9525
sub-04	1	7	if	sub-04_run-01_trial-07.wav	10	1.9525	2.1925
sub-04	1	7	if	sub-04_run-01_trial-07.wav	11	2.1925	2.3325
sub-04	1	7	if	sub-04_run-01_trial-07.wav	12	2.3325	2.4725
sub-04	1	7	if	sub-04_run-01_trial-07.wav	13	2.4725	2.6925
sub-04	1	7	if	sub-04_run-01_trial-07.wav	14	2.7525	2.9125
sub-04	1	7	if	sub-04_run-01_trial-07.wav	15	2.9925	3.1725
sub-04	1	7	if	sub-04_run-01_trial-07.wav	16	3.2525	3.4525
sub-04	1	7	if	sub-04_run-01_trial-07.wav	17	3.4525	3.6525
sub-04	1	7	if	sub-04_run-01_trial-07.wav	18	3.6525	3.8925
sub-04	1	7	if	sub-04_run-01_trial-07.wav	19	3.8925	4.1925
sub-04	1	8	thrilled	sub-04_run-01_trial-08.wav	1	0.6725	0.8725
sub-04	1	8	thrilled	sub-04_run-01_trial-08.wav	2	0.9525	1.2125
sub-04	1	8	thrilled	sub-04_run-01_trial-08.wav	3	1.2125	1.4325
sub-04	1	8	thrilled	sub-04_run-01_trial-08.wav	4	1.5125	1.7325
