subject	run	trial	syllable	wav_file
sub-02	1	1	juh	behav_sub-02_run-01_trial-01.wav
sub-02	1	2	thurs	behav_sub-02_run-01_trial-02.wav
sub-02	1	3	day	behav_sub-02_run-01_trial-03.wav
sub-02	1	4	thrilled	behav_sub-02_run-01_trial-04.wav
sub-02	1	5	would	behav_sub-02_run-01_trial-05.wav
sub-02	1	6	mih	behav_sub-02_run-01_trial-06.wav
sub-02	1	7	jin	behav_sub-02_run-01_trial-07.wav
sub-02	1	8	leh	behav_sub-02_run-01_trial-08.wav
sub-02	1	9	chuck	behav_sub-02_run-01_trial-09.wav
sub-02	1	10	pie	behav_sub-02_run-01_trial-10.wav
sub-02	1	11	ver	behav_sub-02_run-01_trial-11.wav
sub-02	1	12	ti	behav_sub-02_run-01_trial-12.wav
sub-02	1	13	through	behav_sub-02_run-01_trial-13.wav
sub-02	1	14	ser	behav_sub-02_run-01_trial-14.wav
sub-02	1	15	picked	behav_sub-02_run-01_trial-15.wav
sub-02	1	16	ther	behav_sub-02_run-01_trial-16.wav
sub-02	1	17	a	behav_sub-02_run-01_trial-17.wav
sub-02	1	18	imah	behav_sub-02_run-01_trial-18.wav
sub-02	1	19	neh	behav_sub-02_run-01_trial-19.wav
sub-02	1	20	out	behav_sub-02_run-01_trial-20.wav
sub-02	1	21	thought	behav_sub-02_run-01_trial-21.wav
sub-02	1	22	fee	behav_sub-02_run-01_trial-22.wav
sub-02	1	23	the	behav_sub-02_run-01_trial-23.wav
sub-02	1	24	much	behav_sub-02_run-01_trial-24.wav
sub-02	1	25	per	behav_sub-02_run-01_trial-25.wav
sub-02	1	26	how	behav_sub-02_run-01_trial-26.wav
sub-02	1	27	pro	behav_sub-02_run-01_trial-27.wav
sub-02	1	28	caw	behav_sub-02_run-01_trial-28.wav
sub-02	1	29	ter	behav_sub-02_run-01_trial-29.wav
sub-02	1	30	pi	behav_sub-02_run-01_trial-30.wav
sub-02	1	31	per	behav_sub-02_run-01_trial-31.wav
sub-02	1	32	jur	behav_sub-02_run-01_trial-32.wav
sub-02	1	33	thir	behav_sub-02_run-01_trial-33.wav
sub-02	1	34	thieves	behav_sub-02_run-01_trial-34.wav
sub-02	1	35	pot	behav_sub-02_run-01_trial-35.wav
sub-02	1	36	naw	behav_sub-02_run-01_trial-36.wav
sub-02	1	37	throne	behav_sub-02_run-01_trial-37.wav
sub-02	1	38	airy	behav_sub-02_run-01_trial-38.wav
sub-02	1	39	less	behav_sub-02_run-01_trial-39.wav
sub-02	1	40	peck	behav_sub-02_run-01_trial-40.wav
sub-02	1	41	three	behav_sub-02_run-01_trial-41.wav
sub-02	1	42	if	behav_sub-02_run-01_trial-42.wav
sub-02	2	1	pot	behav_sub-02_run-02_trial-01.wav
sub-02	2	2	out	behav_sub-02_run-02_trial-02.wav
sub-02	2	3	imah	behav_sub-02_run-02_trial-03.wav
sub-02	2	4	how	behav_sub-02_run-02_trial-04.wav
sub-02	2	5	naw	behav_sub-02_run-02_trial-05.wav
sub-02	2	6	the	behav_sub-02_run-02_trial-06.wav
sub-02	2	7	a	behav_sub-02_run-02_trial-07.wav
sub-02	2	8	per	behav_sub-02_run-02_trial-08.wav
sub-02	2	9	caw	behav_sub-02_run-02_trial-09.wav
sub-02	2	10	less	behav_sub-02_run-02_trial-10.wav
sub-02	2	11	jin	behav_sub-02_run-02_trial-11.wav
sub-02	2	12	fee	behav_sub-02_run-02_trial-12.wav
sub-02	2	13	ver	behav_sub-02_run-02_trial-13.wav
sub-02	2	14	jur	behav_sub-02_run-02_trial-14.wav
sub-02	2	15	thurs	behav_sub-02_run-02_trial-15.wav
sub-02	2	16	day	behav_sub-02_run-02_trial-16.wav
sub-02	2	17	mih	behav_sub-02_run-02_trial-17.wav
sub-02	2	18	picked	behav_sub-02_run-02_trial-18.wav
sub-02	2	19	thought	behav_sub-02_run-02_trial-19.wav
sub-02	2	20	pro	behav_sub-02_run-02_trial-20.wav
sub-02	2	21	thrilled	behav_sub-02_run-02_trial-21.wav
sub-02	2	22	ser	behav_sub-02_run-02_trial-22.wav
sub-02	2	23	juh	behav_sub-02_run-02_trial-23.wav
sub-02	2	24	per	behav_sub-02_run-02_trial-24.wav
sub-02	2	25	thieves	behav_sub-02_run-02_trial-25.wav
sub-02	2	26	much	behav_sub-02_run-02_trial-26.wav
sub-02	2	27	would	behav_sub-02_run-02_trial-27.wav
sub-02	2	28	through	behav_sub-02_run-02_trial-28.wav
sub-02	2	29	chuck	behav_sub-02_run-02_trial-29.wav
sub-02	2	30	throne	behav_sub-02_run-02_trial-30.wav
sub-02	2	31	if	behav_sub-02_run-02_trial-31.wav
sub-02	2	32	pi	behav_sub-02_run-02_trial-32.wav
sub-02	2	33	pie	behav_sub-02_run-02_trial-33.wav
sub-02	2	34	peck	behav_sub-02_run-02_trial-34.wav
sub-02	2	35	airy	behav_sub-02_run-02_trial-35.wav
sub-02	2	36	ti	behav_sub-02_run-02_trial-36.wav
sub-02	2	37	ter	behav_sub-02_run-02_trial-37.wav
sub-02	2	38	leh	behav_sub-02_run-02_trial-38.wav
sub-02	2	39	neh	behav_sub-02_run-02_trial-39.wav
sub-02	2	40	three	behav_sub-02_run-02_trial-40.wav
sub-02	2	41	thir	behav_sub-02_run-02_trial-41.wav
sub-02	2	42	ther	behav_sub-02_run-02_trial-42.wav
sub-02	3	1	peck	behav_sub-02_run-03_trial-01.wav
sub-02	3	2	caw	behav_sub-02_run-03_trial-02.wav
sub-02	3	3	thir	behav_sub-02_run-03_trial-03.wav
sub-02	3	4	ti	behav_sub-02_run-03_trial-04.wav
sub-02	3	5	through	behav_sub-02_run-03_trial-05.wav
sub-02	3	6	chuck	behav_sub-02_run-03_trial-06.wav
sub-02	3	7	naw	behav_sub-02_run-03_trial-07.wav
sub-02	3	8	out	behav_sub-02_run-03_trial-08.wav
sub-02	3	9	how	behav_sub-02_run-03_trial-09.wav
sub-02	3	10	throne	behav_sub-02_run-03_trial-10.wav
sub-02	3	11	ther	behav_sub-02_run-03_trial-11.wav
sub-02	3	12	thrilled	behav_sub-02_run-03_trial-12.wav
sub-02	3	13	less	behav_sub-02_run-03_trial-13.wav
sub-02	3	14	would	behav_sub-02_run-03_trial-14.wav
sub-02	3	15	thurs	behav_sub-02_run-03_trial-15.wav
sub-02	3	16	pot	behav_sub-02_run-03_trial-16.wav
sub-02	3	17	if	behav_sub-02_run-03_trial-17.wav
sub-02	3	18	thought	behav_sub-02_run-03_trial-18.wav
sub-02	3	19	airy	behav_sub-02_run-03_trial-19.wav
sub-02	3	20	day	behav_sub-02_run-03_trial-20.wav
sub-02	3	21	pro	behav_sub-02_run-03_trial-21.wav
sub-02	3	22	ser	behav_sub-02_run-03_trial-22.wav
